id,create_uid,write_uid,key,value,create_date,write_date
5,1,1,base.login_cooldown_after,10,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
6,1,1,base.login_cooldown_duration,60,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
7,1,1,base.template_portal_user_id,4,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
8,1,1,base.default_max_email_size,10,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
9,1,1,base_setup.show_effect,True,2026-03-18 04:59:19.556231,2026-03-18 04:59:19.556231
10,1,1,mail.activity.gc.delete_overdue_years,3,2026-03-18 05:03:38.577538,2026-03-18 05:03:38.577538
12,1,1,analytic.project_plan,1,2026-03-18 05:03:46.533969,2026-03-18 05:03:46.533969
14,1,1,auth_signup.reset_password,True,2026-03-18 05:03:47.369476,2026-03-18 05:03:47.369476
15,1,1,iap_extract_endpoint,https://extract.api.odoo.com,2026-03-18 05:03:55.645349,2026-03-18 05:03:55.645349
16,1,1,mail_mobile.enable_ocn,True,2026-03-18 05:03:55.764846,2026-03-18 05:03:55.764846
17,1,1,digest.default_digest_emails,True,2026-03-18 05:04:01.483532,2026-03-18 05:04:01.483532
18,1,1,digest.default_digest_id,1,2026-03-18 05:04:01.483532,2026-03-18 05:04:01.483532
19,1,1,account_accountant.bank_rec_payment_tolerance,0.00,2026-03-18 05:04:19.213591,2026-03-18 05:04:19.213591
20,1,1,account_payment.enable_portal_payment,True,2026-03-18 05:04:23.216988,2026-03-18 05:04:23.216988
21,1,1,account_online_synchronization.proxy_mode,production,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
22,1,1,account_online_synchronization.request_timeout,60,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
23,1,1,sale.default_confirmation_template,22,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
24,1,1,sale.default_invoice_email_template,9,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
25,1,1,sale.async_emails,False,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
26,2,2,mail.web_push_vapid_private_key,7eQhLEnradlJ_W4fUTJFPQK-3ANBeCSLUr_EbhSD-6w,2026-03-18 05:05:13.812808,2026-03-18 05:05:13.812808
27,2,2,mail.web_push_vapid_public_key,BMC2gsXSLi0bTu4XH_OEzd5KWQZGqC16HpXEOCvXSLtPuHwEKNoL-c_UIvMGQpnD9rfoG6nzrX7XO_G1cfxXaFA,2026-03-18 05:05:13.812808,2026-03-18 05:05:13.812808
28,1,1,calendar.default_privacy,public,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
29,1,1,crm.pls_fields,"phone_state,email_state,state_id,country_id,source_id,lang_id,tag_ids",2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
30,1,1,crm.pls_start_date,2026-03-10,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
31,1,1,stock.barcode_separator,",",2026-03-18 05:30:58.653183,2026-03-18 05:30:58.653183
34,1,1,hr_expense.use_mailgateway,True,2026-03-18 05:33:47.704597,2026-03-18 05:33:47.704597
36,2,2,partner_names_order,first_last,2026-03-18 06:11:54.565353,2026-03-18 06:11:54.565353
11,1,2,mail.restrict.template.rendering,True,2026-03-18 05:03:38.577538,2026-03-18 06:11:54.565353
37,2,2,product.weight_in_lbs,0,2026-03-18 06:11:54.565353,2026-03-18 06:11:54.565353
38,2,2,product.volume_in_cubic_feet,0,2026-03-18 06:11:54.565353,2026-03-18 06:11:54.565353
39,2,2,crm.iap.lead.enrich.setting,auto,2026-03-18 06:11:54.565353,2026-03-18 06:11:54.565353
40,2,2,barcode.max_time_between_keys_in_ms,100,2026-03-18 06:11:54.565353,2026-03-18 06:11:54.565353
41,2,2,web.web_app_name,VING RUN,2026-03-18 12:19:44.007072,2026-03-18 12:19:44.007072
13,1,2,auth_signup.invitation_scope,b2b,2026-03-18 05:03:47.369476,2026-03-18 12:19:44.007072
35,1,2,scgl.web.base.title,VING RUN,2026-03-18 06:09:46.602673,2026-03-18 12:19:44.007072
32,1,1,stock_barcode.barcode_separator_regex,"[;,]",2026-03-18 05:31:11.970932,2026-03-29 06:24:45.370333
33,1,1,stock_barcode.barcode_rfid_batch_time,1000,2026-03-18 05:31:11.970932,2026-03-29 06:24:45.370333
1,1,1,database.secret,d53131a0-560c-49f4-94ee-ce7d1fe2e9b8,2026-03-18 04:58:50.421471,2026-03-30 02:35:31.875216
2,1,1,database.uuid,1f6338ae-2be1-11f1-9465-820e2e6af5e0,2026-03-18 04:58:50.421471,2026-03-30 02:35:31.875216
3,1,1,database.create_date,2026-03-30 02:35:31,2026-03-18 04:58:50.421471,2026-03-30 02:35:31.875216
101,1,1,point_of_sale.limited_product_count,5000,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
4,1,2,web.base.url,https://tving.smeplus.cloud,2026-03-18 04:58:50.421471,2026-03-30 02:36:13.276898
102,1,1,point_of_sale.limited_customer_count,100,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
103,1,1,mrp_workorder.wo_shop_floor_maximum_card_count,40,2026-03-30 07:53:00.318091,2026-03-30 07:53:00.318091
